t_ms	cmd	v_eq	left_count	left_rad_s	left_rpm						
20	85	4	8	0.8986	8.581						
40	85	4	34	2.9203	27.887						
60	85	4	69	3.9312	37.54						
80	85	4	113	4.9421	47.193						
100	85	4	160	5.279	50.411			kv = 6.6269 / 4	K	737.5016967	
120	85	4	213	5.953	56.847						
140	85	4	265	5.8406	55.774				omega 3	4.1882008	
160	85	4	322	6.4022	61.137						
180	85	4	376	6.0653	57.919				interpolated tau	65.0845	ms
200	85	4	434	6.5146	62.21						
220	85	4	489	6.1776	58.992						
240	85	4	548	6.6269	63.282				used PIDTUNE		
260	85	4	607	6.6269	63.282				KP = 0.00194	KI=0.541	
280	85	4	663	6.2899	60.064						
300	85	4	721	6.5146	62.21						
320	85	4	777	6.2899	60.064						
340	85	4	836	6.6269	63.282						
360	85	4	892	6.2899	60.064						
380	85	4	951	6.6269	63.282						
400	85	4	1007	6.2899	60.064						
420	85	4	1067	6.7392	64.355						
440	85	4	1123	6.2899	60.064						
460	85	4	1182	6.6269	63.282						
480	85	4	1238	6.2899	60.064						
500	85	4	1297	6.6269	63.282						
520	85	4	1353	6.2899	60.064						
540	85	4	1412	6.6269	63.282						
561	85	4	1471	6.3113	60.269						
581	85	4	1530	6.6269	63.282						
601	85	4	1589	6.6269	63.282						
621	85	4	1645	6.2899	60.064						
641	85	4	1704	6.6269	63.282						
661	85	4	1760	6.2899	60.064						
681	85	4	1819	6.6269	63.282						
701	85	4	1875	6.2899	60.064						
721	85	4	1934	6.6269	63.282						
741	85	4	1990	6.2899	60.064						
761	85	4	2049	6.6269	63.282						
781	85	4	2105	6.2899	60.064						
801	85	4	2164	6.6269	63.282						
821	85	4	2220	6.2899	60.064						
841	85	4	2279	6.6269	63.282						
861	85	4	2335	6.2899	60.064						
881	85	4	2394	6.6269	63.282						
901	85	4	2453	6.6269	63.282						
921	85	4	2509	6.2899	60.064						
941	85	4	2568	6.6269	63.282						
961	85	4	2624	6.2899	60.064						
981	85	4	2683	6.6269	63.282						
1001	85	4	2739	6.2899	60.064						
1021	85	4	2799	6.7392	64.355						
1041	85	4	2855	6.2899	60.064						
1061	85	4	2914	6.6269	63.282						
1081	85	4	2970	6.2899	60.064						
1101	85	4	3028	6.5146	62.21						
1121	85	4	3084	6.2899	60.064						
1141	85	4	3143	6.6269	63.282						
1161	85	4	3199	6.2899	60.064						
1181	85	4	3259	6.7392	64.355						
1201	85	4	3315	6.2899	60.064						
1221	85	4	3374	6.6269	63.282						
1241	85	4	3433	6.6269	63.282						
1261	85	4	3489	6.2899	60.064						
1281	85	4	3548	6.6269	63.282						
1301	85	4	3604	6.2899	60.064						
1321	85	4	3663	6.6269	63.282						
1341	85	4	3719	6.2899	60.064						
1361	85	4	3778	6.6269	63.282						
1381	85	4	3834	6.2899	60.064						
1401	85	4	3893	6.6269	63.282						
1421	85	4	3949	6.2899	60.064						
1441	85	4	4008	6.6269	63.282						
1461	85	4	4064	6.2899	60.064						
1481	85	4	4123	6.6269	63.282						
1501	85	4	4179	6.2899	60.064						
1521	85	4	4238	6.6269	63.282						
1541	85	4	4297	6.6269	63.282						
1561	85	4	4353	6.2899	60.064						
1581	85	4	4412	6.6269	63.282						
1601	85	4	4468	6.2899	60.064						
1621	85	4	4527	6.6269	63.282						
1641	85	4	4583	6.2899	60.064						
1661	85	4	4643	6.7392	64.355						
1681	85	4	4699	6.2899	60.064						
