t_ms,left_delta,right_delta,left_abs,right_abs,target_counts
Target counts per wheel: 2797
10,2,-2,2,2,2797
20,16,-16,16,16,2797
30,41,-38,41,38,2797
40,74,-69,74,69,2797
50,109,-102,109,102,2797
60,153,-143,153,143,2797
70,200,-188,200,188,2797
80,251,-237,251,237,2797
90,304,-289,304,289,2797
100,353,-337,353,337,2797
110,409,-391,409,391,2797
120,466,-446,466,446,2797
130,526,-504,526,504,2797
140,580,-557,580,557,2797
150,641,-616,641,616,2797
160,702,-677,702,677,2797
170,765,-738,765,738,2797
180,821,-794,821,794,2797
190,885,-857,885,857,2797
200,948,-920,948,920,2797
210,1012,-984,1012,984,2797
220,1070,-1042,1070,1042,2797
230,1135,-1106,1135,1106,2797
240,1199,-1170,1199,1170,2797
250,1264,-1235,1264,1235,2797
260,1329,-1300,1329,1300,2797
270,1388,-1358,1388,1358,2797
280,1453,-1423,1453,1423,2797
290,1518,-1489,1518,1489,2797
300,1583,-1554,1583,1554,2797
310,1642,-1613,1642,1613,2797
320,1708,-1679,1708,1679,2797
330,1773,-1745,1773,1745,2797
340,1838,-1810,1838,1810,2797
350,1897,-1869,1897,1869,2797
360,1963,-1935,1963,1935,2797
370,2029,-2001,2029,2001,2797
380,2094,-2066,2094,2066,2797
391,2160,-2132,2160,2132,2797
401,2225,-2198,2225,2198,2797
411,2291,-2263,2291,2263,2797
421,2357,-2329,2357,2329,2797
431,2422,-2395,2422,2395,2797
441,2481,-2454,2481,2454,2797
451,2547,-2520,2547,2520,2797
461,2613,-2585,2613,2585,2797
471,2678,-2651,2678,2651,2797
481,2738,-2711,2738,2711,2797
491,2803,-2776,2803,2776,2797
Turn complete
Final left delta: 2803
Final right delta: -2776
t_ms,left_delta,right_delta,left_abs,right_abs,target_counts
Target counts per wheel: 2797
10,2,-2,2,2,2797
20,16,-16,16,16,2797
30,41,-40,41,40,2797
40,74,-71,74,71,2797
50,109,-104,109,104,2797
60,153,-146,153,146,2797
70,201,-192,201,192,2797
80,252,-242,252,242,2797
90,304,-294,304,294,2797
100,353,-342,353,342,2797
110,408,-398,408,398,2797
120,464,-454,464,454,2797
130,522,-511,522,511,2797
140,575,-565,575,565,2797
150,636,-625,636,625,2797
160,697,-686,697,686,2797
170,759,-748,759,748,2797
180,815,-805,815,805,2797
190,879,-868,879,868,2797
200,942,-931,942,931,2797
210,1006,-995,1006,995,2797
220,1064,-1053,1064,1053,2797
230,1128,-1118,1128,1118,2797
240,1193,-1182,1193,1182,2797
250,1258,-1247,1258,1247,2797
260,1323,-1312,1323,1312,2797
270,1381,-1371,1381,1371,2797
280,1447,-1436,1447,1436,2797
290,1512,-1501,1512,1501,2797
300,1577,-1567,1577,1567,2797
310,1636,-1626,1636,1626,2797
320,1702,-1691,1702,1691,2797
330,1767,-1757,1767,1757,2797
340,1833,-1823,1833,1823,2797
350,1892,-1882,1892,1882,2797
360,1958,-1948,1958,1948,2797
370,2023,-2013,2023,2013,2797
380,2089,-2079,2089,2079,2797
391,2155,-2145,2155,2145,2797
401,2220,-2211,2220,2211,2797
411,2286,-2276,2286,2276,2797
421,2352,-2342,2352,2342,2797
431,2418,-2408,2418,2408,2797
441,2477,-2468,2477,2468,2797
451,2543,-2534,2543,2534,2797
461,2608,-2599,2608,2599,2797
471,2674,-2665,2674,2665,2797
481,2733,-2724,2733,2724,2797
491,2799,-2790,2799,2790,2797
Turn complete
Final left delta: 2799
Final right delta: -2790
